VerkaufsID,KundenID,ProduktID,Datum,Menge,Region,Land,Supportanfrage,Retoure,Kampagne
V00001,K0006,P002,2021-07-25,10,Île-de-France,Frankreich,Ja,Nein,Summer Tech
V00002,K0053,P004,2024-02-17,10,London,Großbritannien,Nein,Nein,Winter Deals
V00003,K0092,P002,2025-02-17,4,Hamburg,Deutschland,Nein,Nein,Spring Cleaning
V00004,K0141,P005,2022-09-30,6,Wien,Österreich,Nein,Nein,Urban Gardening
V00005,K0098,P005,2021-04-28,1,Lombardei,Italien,Nein,Nein,AI Everywhere
V00006,K0177,P001,2023-05-03,10,Wien,Österreich,Ja,Nein,Smart Home Days
V00007,K0104,P002,2021-07-14,7,Bayern,Deutschland,Nein,Nein,Frühjahr 2025
V00008,K0107,P005,2022-12-18,3,Lombardei,Italien,Nein,Ja,Frühjahr 2025
V00009,K0041,P006,2022-08-13,3,Wien,Österreich,Nein,Nein,Urban Gardening
V00010,K0184,P007,2022-08-08,9,NRW,Deutschland,Nein,Nein,Winter Deals
V00011,K0067,P004,2024-09-05,4,Nordholland,Niederlande,Nein,Ja,Spring Cleaning
V00012,K0009,P002,2021-05-19,3,Berlin,Deutschland,Ja,Nein,Spring Cleaning
V00013,K0041,P007,2022-04-12,6,Wien,Österreich,Nein,Nein,Winter Deals
V00014,K0169,P007,2022-03-28,6,Nordholland,Niederlande,Ja,Nein,Winter Deals
V00015,K0086,P002,2021-12-13,9,Katalonien,Spanien,Ja,Nein,UK Launch
V00016,K0030,P002,2022-06-06,10,Île-de-France,Frankreich,Nein,Nein,Printemps Tech
V00017,K0007,P006,2022-08-27,4,NRW,Deutschland,Nein,Ja,Business Boost
V00018,K0035,P004,2022-05-24,4,Île-de-France,Frankreich,Nein,Nein,Winter Deals
V00019,K0188,P006,2025-01-23,10,Hamburg,Deutschland,Nein,Ja,Winter Deals
V00020,K0163,P003,2023-12-07,4,London,Großbritannien,Nein,Nein,Smart Home Days
V00021,K0126,P004,2024-08-06,6,London,Großbritannien,Ja,Nein,Frühjahr 2025
V00022,K0036,P003,2021-06-08,3,Île-de-France,Frankreich,Nein,Nein,Urban Gardening
V00023,K0051,P004,2021-06-15,1,Île-de-France,Frankreich,Nein,Nein,UK Launch
V00024,K0193,P007,2022-11-18,7,NRW,Deutschland,Nein,Nein,Smart Home Days
